# Rime table
# coding: utf-8
#@/db_name	hiragana.txt
#@/db_type	tabledb


あ	Ha
い	Hi
う	Hu
え	He
お	Ho
か	Hka
き	Hki
く	Hku
け	Hke
こ	Hko
さ	Hsa
し	Hsi
し	Hshi
す	Hsu
せ	Hse
そ	Hso
た	Hta
ち	Hti
ち	Hchi
つ	Htu
て	Hte
と	Hto
は	Hha
ひ	Hhi
ふ	Hfu
ふ	Hhu
へ	Hhe
ほ	Hho
ま	Hma
み	Hmi
む	Hmu
め	Hme
も	Hmo
な	Hna
に	Hni
ぬ	Hnu
ね	Hne
の	Hno
ら	Hra
り	Hri
る	Hru
れ	Hre
ろ	Hro
や	Hya
ゆ	Hyu
よ	Hyo
わ	Hwa
ゐ	Hwi
ゑ	Hwe
を	Hwo
ん	Hn
ん	Hnn

が	Hga
ぎ	Hgi
ぐ	Hgu
げ	Hge
ご	Hgo
ざ	Hza
じ	Hzi
じ	Hji
ず	Hzu
ぜ	Hze
ぞ	Hzo
だ	Hda
ぢ	Hdi
づ	Hdu
で	Hde
ど	Hdo
ば	Hba
び	Hbi
ぶ	Hbu
べ	Hbe
ぼ	Hbo
ぱ	Hpa
ぴ	Hpi
ぷ	Hpu
ぺ	Hpe
ぽ	Hpo
ぁ	Hla
ぃ	Hli
ぅ	Hlu
ぇ	Hle
ぉ	Hlo
ぁ	Hxa
ぃ	Hxi
ぅ	Hxu
ぇ	Hxe
ぉ	Hxo
ゃ	Hlya
ゅ	Hlyu
ょ	Hlyo
ゃ	Hxya
ゅ	Hxyu
ょ	Hxyo
っ	Hltu
っ	Hxtu
ゔ	Hvu
々	Honaji
々	Hkurikaeshi
ゝ	Honaji
ゝ	Hkurikaeshi
ゞ	Honaji
ゞ	Hkurikaeshi
ゟ	Hyori
〆	Hshime
〼	Hmasu

きゃ	Hkya
きゅ	Hkyu
きょ	Hkyo
しゃ	Hsha
しゅ	Hshu
しょ	Hsho
ちゃ	Hcha
ちゅ	Hchu
ちょ	Hcho
ひゃ	Hhya
ひゅ	Hhyu
ひょ	Hhyo
にゃ	Hnya
にゅ	Hnyu
にょ	Hnyo
みゃ	Hmya
みゅ	Hmyu
みょ	Hmyo
りゃ	Hrya
りゅ	Hryu
りょ	Hryo
ぎゃ	Hgya
ぎゅ	Hgyu
