# Rime table
# coding: utf-8
#@/db_name	katakana.txt
#@/db_type	tabledb


ア	Ka
イ	Ki
ウ	Ku
エ	Ke
オ	Ko
カ	Kka
キ	Kki
ク	Kku
ケ	Kke
コ	Kko
サ	Ksa
シ	Ksi
シ	Kshi
ス	Ksu
セ	Kse
ソ	Kso
タ	Kta
チ	Kti
チ	Kchi
ツ	Ktu
テ	Kte
ト	Kto
ハ	Kha
ヒ	Khi
フ	Kfu
フ	Khu
ヘ	Khe
ホ	Kho
マ	Kma
ミ	Kmi
ム	Kmu
メ	Kme
モ	Kmo
ナ	Kna
ニ	Kni
ヌ	Knu
ネ	Kne
ノ	Kno
ラ	Kra
リ	Kri
ル	Kru
レ	Kre
ロ	Kro
ヤ	Kya
ユ	Kyu
ヨ	Kyo
ワ	Kwa
ヰ	Kwi
ヱ	Kwe
ヲ	Kwo
ン	Kn
ン	Knn
ー	Kln

ガ	Kga
ギ	Kgi
グ	Kgu
ゲ	Kge
ゴ	Kgo
ザ	Kza
ジ	Kzi
ジ	Kji
ズ	Kzu
ゼ	Kze
ゾ	Kzo
ダ	Kda
ヂ	Kdi
ヅ	Kdu
デ	Kde
ド	Kdo
バ	Kba
ビ	Kbi
ブ	Kbu
ベ	Kbe
ボ	Kbo
パ	Kpa
ピ	Kpi
プ	Kpu
ペ	Kpe
ポ	Kpo
ヶ	Kxke
ヶ	Klke
ァ	Kla
ィ	Kli
ゥ	Klu
ェ	Kle
ォ	Klo
ァ	Kxa
ィ	Kxi
ゥ	Kxu
ェ	Kxe
ォ	Kxo
ャ	Klya
ュ	Klyu
ョ	Klyo
ャ	Kxya
ュ	Kxyu
ョ	Kxyo
ッ	Kltu
ッ	Kxtu
ヴ	Kvu
々	Konaji
々	Kkurikaeshi
ヽ	Konaji
ヽ	Kkurikaeshi
ヾ	Konaji
ヾ	Kkurikaeshi
ヿ	Kkoto
〆	Kshime
〼	Kmasu


キャ	Kkya
キュ	Kkyu
キョ	Kkyo
シャ	Ksha
シュ	Kshu
ショ	Ksho
チャ	Kcha
チュ	Kchu
チョ	Kcho
ヒャ	Khya
ヒュ	Khyu
